type,neurons,density,hits,building_time,search_time
p4,25230,10502.375,-1,NaN,NaN
s,25230,10502.375,Hit found: 7679
1,11022022,1314493
p0,25230,10502.375,1,4804860,308909
p1,25230,10502.375,-1,NaN,NaN
p2,25230,10502.375,1,10128704,330519
p3,25230,10502.375,1,5499626,331133
p4,25230,10502.375,-1,NaN,NaN
s,25230,10502.375,Hit found: 7679
1,11005487,1346868
p0,25230,10502.375,1,4798758,311148
p1,25230,10502.375,-1,NaN,NaN
p2,25230,10502.375,1,10095300,327675
p3,25230,10502.375,1,5491590,330988
p4,25230,10502.375,-1,NaN,NaN
s,25230,10502.375,Hit found: 7679
1,11068118,1329182
p0,25230,10502.375,1,4813562,311966
p1,25230,10502.375,-1,NaN,NaN
p2,25230,10502.375,1,10148077,330236
p3,25230,10502.375,1,5517448,330055
p4,25230,10502.375,-1,NaN,NaN
s,25230,10602.35,0,10993479,1243674
p0,25230,10602.35,0,4794785,317028
p1,25230,10602.35,-1,NaN,NaN
p2,25230,10602.35,0,10152651,332129
p3,25230,10602.35,0,5485179,336742
p4,25230,10602.35,-1,NaN,NaN
s,25230,10602.35,0,11031372,1243822
p0,25230,10602.35,0,4825278,314946
p1,25230,10602.35,-1,NaN,NaN
p2,25230,10602.35,0,10080581,332065
p3,25230,10602.35,0,5498178,338631
p4,25230,10602.35,-1,NaN,NaN
s,25230,10602.35,0,11009389,1242884
p0,25230,10602.35,0,4777119,315302
p1,25230,10602.35,-1,NaN,NaN
p2,25230,10602.35,0,10096104,329504
p3,25230,10602.35,0,5522952,336586
p4,25230,10602.35,-1,NaN,NaN
s,25230,10602.35,0,10998684,1243060
p0,25230,10602.35,0,4781604,319319
p1,25230,10602.35,-1,NaN,NaN
p2,25230,10602.35,0,10065906,331539
p3,25230,10602.35,0,5498854,338936
p4,25230,10602.35,-1,NaN,NaN
s,25230,10602.35,0,11037964,1242177
p0,25230,10602.35,0,4770640,316910
p1,25230,10602.35,-1,NaN,NaN
p2,25230,10602.35,0,10121028,331195
p3,25230,10602.35,0,5482378,339245
p4,25230,10602.35,-1,NaN,NaN
s,25230,10702.325,0,10996461,1222067
p0,25230,10702.325,0,4809681,311879
p1,25230,10702.325,-1,NaN,NaN
p2,25230,10702.325,0,10176832,331956
p3,25230,10702.325,0,5479564,340542
p4,25230,10702.325,-1,NaN,NaN
s,25230,10702.325,0,11037455,1231090
p0,25230,10702.325,0,4807481,311274
p1,25230,10702.325,-1,NaN,NaN
p2,25230,10702.325,0,10152386,332043
p3,25230,10702.325,0,5495963,339715
p4,25230,10702.325,-1,NaN,NaN
s,25230,10702.325,0,11017341,1222362
p0,25230,10702.325,0,4885479,311300
p1,25230,10702.325,-1,NaN,NaN
p2,25230,10702.325,0,10105607,334040
p3,25230,10702.325,0,5499297,344771
p4,25230,10702.325,-1,NaN,NaN
s,25230,10702.325,0,11056439,1223545
p0,25230,10702.325,0,4838913,310622
p1,25230,10702.325,-1,NaN,NaN
p2,25230,10702.325,0,10225085,331903
p3,25230,10702.325,0,5513179,340853
p4,25230,10702.325,-1,NaN,NaN
s,25230,10702.325,0,10967108,1228500
p0,25230,10702.325,0,4785453,311945
p1,25230,10702.325,-1,NaN,NaN
p2,25230,10702.325,0,10154298,331800
p3,25230,10702.325,0,5511411,339224
p4,25230,10702.325,-1,NaN,NaN
s,25230,10802.3,0,10969909,1229432
p0,25230,10802.3,0,4822534,296856
p1,25230,10802.3,-1,NaN,NaN
p2,25230,10802.3,0,10135245,316721
p3,25230,10802.3,0,5506592,325872
p4,25230,10802.3,-1,NaN,NaN
s,25230,10802.3,0,11008948,1232558
p0,25230,10802.3,0,4782345,297266
p1,25230,10802.3,-1,NaN,NaN
p2,25230,10802.3,0,10166148,316270
p3,25230,10802.3,0,5535606,325500
p4,25230,10802.3,-1,NaN,NaN
s,25230,10802.3,0,11056736,1255097
p0,25230,10802.3,0,4762897,296557
p1,25230,10802.3,-1,NaN,NaN
p2,25230,10802.3,0,10150908,317527
p3,25230,10802.3,0,5521419,324493
p4,25230,10802.3,-1,NaN,NaN
s,25230,10802.3,0,11023719,1226362
p0,25230,10802.3,0,4762769,297077
p1,25230,10802.3,-1,NaN,NaN
p2,25230,10802.3,0,10092234,316837
p3,25230,10802.3,0,5535437,325670
p4,25230,10802.3,-1,NaN,NaN
s,25230,10802.3,0,10953217,1228212
p0,25230,10802.3,0,4767113,296717
p1,25230,10802.3,-1,NaN,NaN
p2,25230,10802.3,0,10099646,317620
p3,25230,10802.3,0,5536437,323722
p4,25230,10802.3,-1,NaN,NaN
s,25230,10902.275,0,11026339,1259283
p0,25230,10902.275,0,4776669,309306
p1,25230,10902.275,-1,NaN,NaN
p2,25230,10902.275,0,10078170,338265
p3,25230,10902.275,0,5510958,333131
p4,25230,10902.275,-1,NaN,NaN
s,25230,10902.275,0,11023606,1257901
p0,25230,10902.275,0,4778457,309091
p1,25230,10902.275,-1,NaN,NaN
p2,25230,10902.275,0,10082396,328386
p3,25230,10902.275,0,5597986,333530
p4,25230,10902.275,-1,NaN,NaN
s,25230,10902.275,0,11020758,1259400
p0,25230,10902.275,0,4767103,310108
p1,25230,10902.275,-1,NaN,NaN
p2,25230,10902.275,0,10097999,327666
p3,25230,10902.275,0,5496866,333369
p4,25230,10902.275,-1,NaN,NaN
s,25230,10902.275,0,11027295,1259281
p0,25230,10902.275,0,4817923,311153
p1,25230,10902.275,-1,NaN,NaN
p2,25230,10902.275,0,10105969,327212
p3,25230,10902.275,0,5556881,334853
p4,25230,10902.275,-1,NaN,NaN
s,25230,10902.275,0,10974593,1259501
p0,25230,10902.275,0,4796276,309734
p1,25230,10902.275,-1,NaN,NaN
p2,25230,10902.275,0,10147746,328639
p3,25230,10902.275,0,5504253,333126
p4,25230,10902.275,-1,NaN,NaN
s,25230,11002.25,Hit found: 15776
1,10977500,1258906
p0,25230,11002.25,1,4782719,312586
p1,25230,11002.25,-1,NaN,NaN
p2,25230,11002.25,1,10168618,334562
p3,25230,11002.25,1,5512501,337566
p4,25230,11002.25,-1,NaN,NaN
s,25230,11002.25,Hit found: 15776
1,11022950,1250279
p0,25230,11002.25,1,4840848,312021
p1,25230,11002.25,-1,NaN,NaN
p2,25230,11002.25,1,10156046,334508
p3,25230,11002.25,1,5521023,336559
p4,25230,11002.25,-1,NaN,NaN
s,25230,11002.25,Hit found: 15776
1,10994732,1256731
p0,25230,11002.25,1,4755493,316601
p1,25230,11002.25,-1,NaN,NaN
p2,25230,11002.25,1,10120749,335078
p3,25230,11002.25,1,5524391,338811
p4,25230,11002.25,-1,NaN,NaN
s,25230,11002.25,Hit found: 15776
1,11034905,1256824
p0,25230,11002.25,1,4783914,312192
p1,25230,11002.25,-1,NaN,NaN
p2,25230,11002.25,1,10216859,333888
p3,25230,11002.25,1,5493217,338167
p4,25230,11002.25,-1,NaN,NaN
s,25230,11002.25,Hit found: 15776
1,10992748,1255771
p0,25230,11002.25,1,4766910,313438
p1,25230,11002.25,-1,NaN,NaN
p2,25230,11002.25,1,10136672,335311
p3,25230,11002.25,1,5517463,338371
p4,25230,11002.25,-1,NaN,NaN
s,25230,1104.725,0,10985625,1291277
p0,25230,1104.725,0,4766984,310758
p1,25230,1104.725,-1,NaN,NaN
p2,25230,1104.725,0,10077654,329128
p3,25230,1104.725,0,5497719,333866
p4,25230,1104.725,-1,NaN,NaN
s,25230,1104.725,0,11021104,1283506
p0,25230,1104.725,0,4766781,312066
p1,25230,1104.725,-1,NaN,NaN
p2,25230,1104.725,0,10194107,328404
p3,25230,1104.725,0,5507380,334105
p4,25230,1104.725,-1,NaN,NaN
s,25230,1104.725,0,11023239,1278281
p0,25230,1104.725,0,4784750,310017
p1,25230,1104.725,-1,NaN,NaN
p2,25230,1104.725,0,10535407,329205
p3,25230,1104.725,0,5498759,334244
p4,25230,1104.725,-1,NaN,NaN
s,25230,1104.725,0,11020582,1284685
p0,25230,1104.725,0,4759940,312913
p1,25230,1104.725,-1,NaN,NaN
p2,25230,1104.725,0,10118653,329049
p3,25230,1104.725,0,5501600,332901
p4,25230,1104.725,-1,NaN,NaN
s,25230,1104.725,0,11141419,1285962
p0,25230,1104.725,0,4820222,312030
p1,25230,1104.725,-1,NaN,NaN
p2,25230,1104.725,0,10095426,329153
p3,25230,1104.725,0,5528486,334296
p4,25230,1104.725,-1,NaN,NaN
s,25230,11102.225000000002,0,10981087,1259709
p0,25230,11102.225000000002,0,4760699,316142
p1,25230,11102.225000000002,-1,NaN,NaN
p2,25230,11102.225000000002,0,10106491,330879
p3,25230,11102.225000000002,0,5567058,338685
p4,25230,11102.225000000002,-1,NaN,NaN
s,25230,11102.225000000002,0,10977433,1252430
p0,25230,11102.225000000002,0,4781545,314860
p1,25230,11102.225000000002,-1,NaN,NaN
p2,25230,11102.225000000002,0,10149481,330537
p3,25230,11102.225000000002,0,5554364,339779
p4,25230,11102.225000000002,-1,NaN,NaN
s,25230,11102.225000000002,0,11021961,1270968
p0,25230,11102.225000000002,0,4780173,316805
p1,25230,11102.225000000002,-1,NaN,NaN
p2,25230,11102.225000000002,0,10103724,329986
p3,25230,11102.225000000002,0,5506855,337866
