type,neurons,density,hits,building_time,search_time
p3,25230,099000.0,3,7138756,334491
s,25230,100000.0,1,10968012,1266939
p0,25230,100000.0,1,6530517,296520
p2,25230,100000.0,1,10385206,322584
p3,25230,100000.0,1,7105662,333604
s,25230,101000.0,0,11000092,1269459
p0,25230,101000.0,0,6605137,304199
p2,25230,101000.0,0,10413619,320248
p3,25230,101000.0,0,7066190,326335
s,25230,102000.0,1,10906429,1271630
p0,25230,102000.0,1,6689814,303535
p2,25230,102000.0,1,10446602,320786
p3,25230,102000.0,1,7113679,329551
s,25230,103000.0,4,10986186,1273025
p0,25230,103000.0,4,6566594,304018
p2,25230,103000.0,4,10390929,325101
p3,25230,103000.0,4,7060077,332995
s,25230,104000.0,2,10928556,1250743
p0,25230,104000.0,2,6500945,298869
p2,25230,104000.0,2,10359630,321336
p3,25230,104000.0,2,7074607,331183
s,25230,105000.0,0,11004585,1288789
p0,25230,105000.0,0,6526673,297306
p2,25230,105000.0,0,10399178,320645
p3,25230,105000.0,0,7048313,327657
s,25230,106000.0,4,10970096,1278628
p0,25230,106000.0,4,6596453,303476
p2,25230,106000.0,4,10332526,321471
p3,25230,106000.0,4,7115807,324228
s,25230,107000.0,0,10952466,1286998
p0,25230,107000.0,0,6556887,296754
p2,25230,107000.0,0,10435674,318496
p3,25230,107000.0,0,7095343,321487
s,25230,108000.0,2,10938110,1264087
p0,25230,108000.0,2,6510995,300272
p2,25230,108000.0,2,10402622,319979
p3,25230,108000.0,2,7097776,328614
s,25230,109000.0,1,10945456,1310271
p0,25230,109000.0,1,6494113,296651
p2,25230,109000.0,1,10401471,320608
p3,25230,109000.0,1,7093760,328233
s,25230,110000.0,10,10930609,1293264
p0,25230,110000.0,10,6588141,302046
p2,25230,110000.0,10,10390557,320617
p3,25230,110000.0,10,7127664,323368
s,25230,111000.0,7,11041620,1288148
p0,25230,111000.0,7,6584939,304176
p2,25230,111000.0,7,10407600,324262
p3,25230,111000.0,7,7064196,329163
s,25230,112000.0,6,10908278,1237961
p0,25230,112000.0,6,6522037,293578
p2,25230,112000.0,5,10426948,313521
p3,25230,112000.0,6,7103221,328827
s,25230,113000.0,2,10945833,1227286
p0,25230,113000.0,2,6531472,301762
p2,25230,113000.0,2,10443962,323508
p3,25230,113000.0,2,7037206,334674
s,25230,114000.0,3,10934335,1263431
p0,25230,114000.0,3,6512209,299135
p2,25230,114000.0,3,10443531,324758
p3,25230,114000.0,3,7088168,332479
s,25230,115000.0,0,10921553,1198126
p0,25230,115000.0,0,6510680,298433
p2,25230,115000.0,0,10401643,324197
p3,25230,115000.0,0,7058917,334000
s,25230,116000.0,4,10960280,1300093
p0,25230,116000.0,4,6563346,300168
p2,25230,116000.0,4,10356515,323059
p3,25230,116000.0,4,7059045,327264
s,25230,117000.0,4,10913774,1305154
p0,25230,117000.0,4,6564738,300123
p2,25230,117000.0,4,10377052,316770
p3,25230,117000.0,4,7192600,321338
s,25230,118000.0,4,11068086,1304955
p0,25230,118000.0,4,6573211,300159
p2,25230,118000.0,4,10369729,318197
p3,25230,118000.0,4,7077546,324130
s,25230,119000.0,6,10928129,1266186
p0,25230,119000.0,6,6539338,304520
p2,25230,119000.0,6,10399287,322284
p3,25230,119000.0,6,7165468,333150
s,25230,120000.0,5,10931206,1244837
p0,25230,120000.0,5,6535496,299789
p2,25230,120000.0,5,10348842,321715
p3,25230,120000.0,5,7111816,331050
s,25230,121000.0,3,10969465,1235009
p0,25230,121000.0,3,6535235,306572
p2,25230,121000.0,3,10407958,323630
p3,25230,121000.0,3,7155217,332092
s,25230,122000.0,1,11042372,1249482
p0,25230,122000.0,1,6555819,293431
p2,25230,122000.0,1,10419747,317059
p3,25230,122000.0,1,7067836,329929
s,25230,123000.0,1,10992430,1313046
p0,25230,123000.0,1,6551514,299021
p2,25230,123000.0,1,10368859,319871
p3,25230,123000.0,1,7103843,322398
s,25230,124000.0,4,10920358,1275926
p0,25230,124000.0,4,6646534,297439
p2,25230,124000.0,4,10421429,322799
p3,25230,124000.0,4,7219092,328098
s,25230,125000.0,2,10917486,1271312
p0,25230,125000.0,2,6534260,307505
p2,25230,125000.0,2,10437433,326634
p3,25230,125000.0,2,7062910,333715
s,25230,126000.0,1,10979167,1267276
p0,25230,126000.0,1,6486380,291590
p2,25230,126000.0,1,10438125,315595
p3,25230,126000.0,1,7201740,326652
s,25230,127000.0,5,11113439,1268573
p0,25230,127000.0,5,6499940,307655
p2,25230,127000.0,5,10447522,326548
p3,25230,127000.0,5,7114356,332780
s,25230,128000.0,8,10935384,1263300
p0,25230,128000.0,8,6571052,303112
p2,25230,128000.0,8,10355210,322673
p3,25230,128000.0,8,7088354,331281
s,25230,129000.0,2,10931018,1264872
p0,25230,129000.0,2,6532883,292473
p2,25230,129000.0,2,10343647,315898
p3,25230,129000.0,2,7112689,326126
s,25230,130000.0,1,10942611,1243619
p0,25230,130000.0,1,6573394,296769
p2,25230,130000.0,1,10439176,319747
p3,25230,130000.0,1,7042445,331762
s,25230,131000.0,4,10910432,1300586
p0,25230,131000.0,4,6513448,305649
p2,25230,131000.0,4,10419950,323571
p3,25230,131000.0,4,7125550,330630
s,25230,132000.0,2,10933215,1309072
p0,25230,132000.0,2,6575735,301226
p2,25230,132000.0,2,10407278,320553
p3,25230,132000.0,2,7185109,325109
s,25230,133000.0,2,10998091,1262261
p0,25230,133000.0,2,6607978,307888
p2,25230,133000.0,2,10382214,321945
p3,25230,133000.0,2,7127175,331183
s,25230,134000.0,5,10953643,1191146
p0,25230,134000.0,5,6528958,298352
p2,25230,134000.0,5,10379550,323808
p3,25230,134000.0,5,7129691,339126
s,25230,135000.0,1,10951471,1248950
p0,25230,135000.0,1,6546839,300374
p2,25230,135000.0,1,10435712,320601
p3,25230,135000.0,1,7119992,332955
s,25230,136000.0,0,10933332,1259362
p0,25230,136000.0,0,6618919,307347
p2,25230,136000.0,0,10414743,322168
p3,25230,136000.0,0,7090549,328905
s,25230,137000.0,7,10955526,1219539
p0,25230,137000.0,7,6521599,304578
p2,25230,137000.0,7,10393104,326088
p3,25230,137000.0,7,7111820,335776
s,25230,138000.0,1,10931635,1245215
p0,25230,138000.0,1,6579428,298087
p2,25230,138000.0,1,10372437,320571
p3,25230,138000.0,1,7131384,332127
s,25230,139000.0,4,10918806,1231219
p0,25230,139000.0,4,6554682,302604
p2,25230,139000.0,4,10434102,324818
p3,25230,139000.0,4,7082271,334246
s,25230,140000.0,7,10920085,1238000
p0,25230,140000.0,7,6524541,303655
p2,25230,140000.0,7,10478089,324026
p3,25230,140000.0,7,7126164,336181
s,25230,141000.0,0,10920617,1268432
p0,25230,141000.0,0,6534197,292714
p2,25230,141000.0,0,10386898,312079
p3,25230,141000.0,0,7139987,319988
s,25230,142000.0,3,10963448,1221105
p0,25230,142000.0,3,6588886,302650
p2,25230,142000.0,3,10403219,324338
p3,25230,142000.0,3,7074779,335048
s,25230,143000.0,1,10947460,1256410
p0,25230,143000.0,1,6594994,303187
p2,25230,143000.0,1,10454947,321740
p3,25230,143000.0,1,7081893,330457
s,25230,144000.0,4,10959371,1325428
p0,25230,144000.0,4,6528568,300938
p2,25230,144000.0,4,10410884,323475
p3,25230,144000.0,4,7141874,325528
s,25230,145000.0,3,10970265,1265560
p0,25230,145000.0,3,6548051,307164
p2,25230,145000.0,3,10411526,326901
p3,25230,145000.0,3,7078895,332619
s,25230,146000.0,3,10956469,1270129
p0,25230,146000.0,3,6557348,302160
p2,25230,146000.0,3,10406240,319099
p3,25230,146000.0,3,7149642,330066
s,25230,147000.0,2,10919370,1303070
p0,25230,147000.0,2,6564125,277670
p2,25230,147000.0,2,10403423,305693
p3,25230,147000.0,2,7038504,308848
s,25230,148000.0,4,10969392,1285167
p0,25230,148000.0,4,6566105,300011
p2,25230,148000.0,4,10362102,319905
p3,25230,148000.0,4,7110501,324746
s,25230,149000.0,9,10907066,1228107
p0,25230,149000.0,9,6558185,303582
p2,25230,149000.0,9,10406486,324375
p3,25230,149000.0,9,7157719,335213
s,25230,150000.0,6,10977370,1272666
p0,25230,150000.0,6,6505929,303319
p2,25230,150000.0,6,10395339,325385
p3,25230,150000.0,6,7115346,331338
s,25230,151000.0,2,10954521,1272096
p0,25230,151000.0,2,6560933,295086
p2,25230,151000.0,2,10392678,319293
p3,25230,151000.0,2,7113931,331636
s,25230,152000.0,0,10980529,1299404
p0,25230,152000.0,0,6587989,298804
p2,25230,152000.0,0,10405216,322460
p3,25230,152000.0,0,7160823,325464
s,25230,153000.0,4,10906288,1308805
p0,25230,153000.0,4,6558787,299624
p2,25230,153000.0,4,10427071,323282
p3,25230,153000.0,4,7151518,331738
s,25230,154000.0,3,10936047,1304999
p0,25230,154000.0,3,6549938,291987
p2,25230,154000.0,3,10430150,312474
p3,25230,154000.0,3,7117319,318453
s,25230,155000.0,5,10929831,1224031
p0,25230,155000.0,5,6540008,299816
p2,25230,155000.0,5,10393443,325278
p3,25230,155000.0,5,7112260,335287
s,25230,156000.0,6,10899540,1245644
p0,25230,156000.0,6,6499011,307363
p2,25230,156000.0,6,10439002,325605
p3,25230,156000.0,6,7111912,336118
s,25230,157000.0,4,10927354,1218436
p0,25230,157000.0,4,6510023,304102
p2,25230,157000.0,4,10451797,320631
p3,25230,157000.0,4,7110071,332511
s,25230,158000.0,2,10919632,1293104
p0,25230,158000.0,2,6553232,295146
p2,25230,158000.0,2,10464609,318106
p3,25230,158000.0,2,7102903,322706
s,25230,159000.0,7,10902947,1271981
p0,25230,159000.0,7,6535491,305144
p2,25230,159000.0,7,10340419,324668
p3,25230,159000.0,7,7063413,333722
s,25230,160000.0,1,10904631,1268108
p0,25230,160000.0,1,6549178,297157
p2,25230,160000.0,1,10430030,322197
p3,25230,160000.0,1,7128375,327026
s,25230,161000.0,4,10967690,1246269
p0,25230,161000.0,4,6527701,305078
p2,25230,161000.0,4,10383508,326683
p3,25230,161000.0,4,7140407,334135
s,25230,162000.0,4,10930803,1219703
p0,25230,162000.0,4,6566446,305831
p2,25230,162000.0,4,10460258,323314
p3,25230,162000.0,4,7154323,336765
s,25230,163000.0,1,10936600,1202134
p0,25230,163000.0,1,6612062,303588
p2,25230,163000.0,1,10442842,322204
p3,25230,163000.0,1,7158578,338305
s,25230,164000.0,7,10943763,1283361
p0,25230,164000.0,7,6523364,302586
p2,25230,164000.0,7,10448752,320092
p3,25230,164000.0,7,7064513,330091
s,25230,165000.0,7,10969982,1231638
p0,25230,165000.0,7,6567478,305387
p2,25230,165000.0,7,10368328,326857
p3,25230,165000.0,7,7121676,336017
s,25230,166000.0,2,10960829,1304720
p0,25230,166000.0,2,6522182,294830
p2,25230,166000.0,2,10442585,317405
p3,25230,166000.0,2,7136161,319975
s,25230,167000.0,3,10924948,1266365
p0,25230,167000.0,3,6500940,300153
p2,25230,167000.0,3,10464064,321903
p3,25230,167000.0,3,7119980,331669
s,25230,168000.0,2,11009701,1289977
p0,25230,168000.0,2,6529620,289846
p2,25230,168000.0,2,10373063,307623
p3,25230,168000.0,2,7124943,316216
s,25230,169000.0,5,10987910,1312427
p0,25230,169000.0,5,6496774,302216
p2,25230,169000.0,5,10408123,317153
p3,25230,169000.0,5,7036653,320139
s,25230,170000.0,0,10956147,1241024
p0,25230,170000.0,0,6495088,296456
p2,25230,170000.0,0,10426993,324856
p3,25230,170000.0,0,7109595,331534
s,25230,171000.0,5,10929382,1245875
p0,25230,171000.0,5,6556934,302478
p2,25230,171000.0,5,10423849,323533
p3,25230,171000.0,5,7103624,331284
s,25230,172000.0,5,11063404,1255323
p0,25230,172000.0,5,6568860,299843
p2,25230,172000.0,5,10407739,320988
p3,25230,172000.0,5,7063640,330637
s,25230,173000.0,1,10949308,1223897
p0,25230,173000.0,1,6541456,299060
p2,25230,173000.0,1,10447775,318527
p3,25230,173000.0,1,7094858,331796
s,25230,174000.0,8,10893031,1295732
p0,25230,174000.0,8,6501002,299640
p2,25230,174000.0,8,10394890,323319
p3,25230,174000.0,8,7134246,327426
s,25230,175000.0,3,10920899,1198620
p0,25230,175000.0,3,6561864,300869
p2,25230,175000.0,3,10401985,323499
p3,25230,175000.0,3,7116189,335933
s,25230,176000.0,0,10918880,1196528
p0,25230,176000.0,0,6591736,302308
p2,25230,176000.0,0,10454393,322721
p3,25230,176000.0,0,7131135,334652
s,25230,177000.0,1,10914437,1240178
p0,25230,177000.0,1,6582481,296074
p2,25230,177000.0,1,10391309,313653
p3,25230,177000.0,1,7124115,328935
s,25230,178000.0,9,10934757,1276162
p0,25230,178000.0,9,6597989,305032
p2,25230,178000.0,9,10434761,321494
p3,25230,178000.0,9,7104357,329492
s,25230,179000.0,7,10906058,1262103
p0,25230,179000.0,7,6614283,301925
p2,25230,179000.0,7,10400817,320697
p3,25230,179000.0,7,7116777,334204
s,25230,180000.0,4,10961578,1273815
p0,25230,180000.0,4,6532774,299859
p2,25230,180000.0,3,10439165,319526
p3,25230,180000.0,4,7181677,326606
s,25230,181000.0,10,10959538,1247283
p0,25230,181000.0,10,6533827,301840
p2,25230,181000.0,10,10433990,319496
p3,25230,181000.0,10,7112442,332304
s,25230,182000.0,3,10933431,1300483
p0,25230,182000.0,3,6561661,299285
p2,25230,182000.0,3,10408775,320932
p3,25230,182000.0,3,7119188,325280
s,25230,183000.0,6,10902299,1225886
p0,25230,183000.0,6,6587660,298494
p2,25230,183000.0,6,10361874,322344
p3,25230,183000.0,6,7173353,331821
s,25230,184000.0,2,10934691,1243597
p0,25230,184000.0,2,6551943,294000
p2,25230,184000.0,2,10381277,318383
p3,25230,184000.0,2,7086006,329926
s,25230,185000.0,8,10949426,1274206
p0,25230,185000.0,8,6535556,305153
p2,25230,185000.0,8,10412325,322905
p3,25230,185000.0,8,7149193,331166
s,25230,186000.0,4,10961614,1282985
p0,25230,186000.0,4,6612749,305026
p2,25230,186000.0,4,10411218,320593
p3,25230,186000.0,4,7116480,326746
s,25230,187000.0,5,10965546,1273506
p0,25230,187000.0,5,6550507,295665
p2,25230,187000.0,5,10356863,318674
p3,25230,187000.0,5,7110309,327025
s,25230,187999.99999999997,0,10940068,1259833
p0,25230,187999.99999999997,0,6584153,285389
p2,25230,187999.99999999997,0,10420541,309630
p3,25230,187999.99999999997,0,7136992,323315
s,25230,189000.0,2,10924082,1260735
p0,25230,189000.0,2,6475579,293962
p2,25230,189000.0,2,10407240,317604
p3,25230,189000.0,2,7033408,329875
s,25230,190000.0,5,10915107,1295126
p0,25230,190000.0,5,6555658,299884
p2,25230,190000.0,5,10424892,320365
p3,25230,190000.0,5,7134189,324866
s,25230,191000.00000000003,4,10902010,1233255
p0,25230,191000.00000000003,4,6559614,303998
p2,25230,191000.00000000003,4,10415915,325741
p3,25230,191000.00000000003,4,7126818,336383
s,25230,192000.0,5,10915305,1227018
p0,25230,192000.0,5,6497095,301555
p2,25230,192000.0,5,10452647,320959
p3,25230,192000.0,5,7102160,332175
s,25230,193000.0,5,11053030,1310881
p0,25230,193000.0,5,6497660,311024
p2,25230,193000.0,5,10451228,323662
p3,25230,193000.0,5,7052847,332512
s,25230,194000.0,8,10991132,1272966
p0,25230,194000.0,8,6537110,304414
p2,25230,194000.0,8,10412901,323815
p3,25230,194000.0,8,7047604,329646
s,25230,195000.0,0,10922338,1261942
p0,25230,195000.0,0,6569287,293945
p2,25230,195000.0,0,10398556,311141
p3,25230,195000.0,0,7067543,320946
s,25230,196000.0,2,10945144,1306890
p0,25230,196000.0,2,6567213,297874
p2,25230,196000.0,2,10462917,320298
p3,25230,196000.0,2,7055234,321683
s,25230,197000.0,2,10922884,1298971
p0,25230,197000.0,2,6572719,292216
p2,25230,197000.0,2,10386255,316341
p3,25230,197000.0,2,7132103,325770
s,25230,198000.0,4,10933560,1254509
p0,25230,198000.0,4,6576677,299825
p2,25230,198000.0,4,10345793,323478
p3,25230,198000.0,4,7107766,333390
s,25230,199000.0,7,10922307,1277570
p0,25230,199000.0,7,6514024,303241
p2,25230,199000.0,7,10425198,322996
p3,25230,199000.0,7,7146003,331002
s,25230,200000.0,3,10959392,1223648
p0,25230,200000.0,3,6532271,297368
p2,25230,200000.0,3,10439797,322502
p3,25230,200000.0,3,7142484,334206
s,25230,201000.0,5,10974809,1298238
p0,25230,201000.0,5,6569848,285945
p2,25230,201000.0,5,10438543,307740
p3,25230,201000.0,5,7067792,312975
s,25230,202000.00000000003,5,10937015,1263951
p0,25230,202000.00000000003,5,6527011,310028
p2,25230,202000.00000000003,5,10459725,328252
p3,25230,202000.00000000003,5,7103343,332218
s,25230,203000.0,2,10942974,1287029
p0,25230,203000.0,2,6542849,283277
p2,25230,203000.0,2,10418843,306165
p3,25230,203000.0,2,7088703,311177
s,25230,204000.0,0,10943037,1304101
p0,25230,204000.0,0,6551865,284407
p2,25230,204000.0,0,10384324,309870
p3,25230,204000.0,0,7095576,312174
s,25230,205000.0,4,10921483,1225739
p0,25230,205000.0,4,6556140,301756
p2,25230,205000.0,4,10378908,323641
p3,25230,205000.0,4,7135784,335574
s,25230,206000.0,0,10908094,1218519
p0,25230,206000.0,0,6566269,300073
p2,25230,206000.0,0,10396842,320647
p3,25230,206000.0,0,7091659,332916
s,25230,207000.00000000003,4,11237049,1260319
p0,25230,207000.00000000003,4,6543242,298474
p2,25230,207000.00000000003,4,10416621,320795
p3,25230,207000.00000000003,4,7109923,328361
s,25230,208000.0,0,10912704,1223832
p0,25230,208000.0,0,6575074,303366
p2,25230,208000.0,0,10397811,323604
p3,25230,208000.0,0,7080903,339274
s,25230,209000.0,4,10988363,1315612
p0,25230,209000.0,4,6533322,296385
p2,25230,209000.0,4,10330174,318983
p3,25230,209000.0,4,7079982,324198
s,25230,210000.0,0,10952177,1299683
p0,25230,210000.0,0,6584733,295733
p2,25230,210000.0,0,10452639,318515
p3,25230,210000.0,0,7059494,319461
s,25230,211000.0,10,10958317,1247678
p0,25230,211000.0,10,6546059,305567
